chr	start	end	startCpG	endCpG	target	name	direction	bcell_all	Breast-basal	CD4T	CD8T	Kidney-podo	lsec_all_all	Lung-Ep	MK	Mono+Macro	NK	neuron_all_all	neut_all_all	breast-luminal	cardiomyocyte	cardiopulm-endo	colon-ep	endo-bulk	erythroblast	hep	pancreas-islet	skeletalmuscle
chr4	471390	471611	6077515	6077518	bcell	chr4:471390-471611	U	1	0	NA	NA	0	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	0	NA	NA	0	NA
chr4	1015600	1015848	6094658	6094666	bcell	chr4:1015600-1015848	U	1	0	0	0	0.059	0	0.006	0.125	0	0	0	0	0	0	0.03	0.685	0	0.036	0.008	0	0.114
chr5	1485470	1485707	7585900	7585903	bcell	chr5:1485470-1485707	U	1	0	NA	NA	NA	1	NA	NA	NA	NA	0	NA	0	0	0	NA	0	NA	NA	0	NA
chr5	115905857	115906077	8428852	8428856	bcell	chr5:115905857-115906077	U	1	0.054	0	NA	0	0.7	NA	NA	NA	NA	0	NA	0	0	0.3	NA	0	0	NA	0	NA
chr5	138725285	138725623	8614505	8614511	bcell	chr5:138725285-138725623	U	1	0	0.222	0.4	0.231	0	0	0.1	0	1	0	0.5	0.104	0	0	0.068	0	0.14	0.026	0	0.167
chr5	175956344	175956527	8959442	8959453	bcell	chr5:175956344-175956527	U	1	0	0	0.5	0.041	0	0.006	0	0.077	0	0	0	0	0.212	0	0.008	0	0.011	0.004	0	0.022
chr6	44226186	44226398	9566818	9566821	bcell	chr6:44226186-44226398	U	1	0.079	NA	NA	0	NA	0	NA	NA	NA	0	NA	0	NA	0	NA	0	0	NA	0	NA
chr6	148841464	148841583	10266413	10266418	bcell	chr6:148841464-148841583	U	1	0	0	0	0.043	0	0	0.034	0	0	0	0	0	0.152	0	0	0	0.033	0	0	0.467
chr6	157982529	157982567	10359448	10359454	bcell	chr6:157982529-157982567	U	1	0	0	NA	0.013	0.333	0	NA	0	0	0	0	0	0	0	0	0	0	0.006	0	0
chr7	1043656	1043808	10558491	10558498	bcell	chr7:1043656-1043808	U	1	0	0	0	0.028	0	0	0	0	0	0	0	0	0.135	0	0.008	0	0.025	0	0	0.118
chr8	11350297	11350516	12252835	12252838	bcell	chr8:11350297-11350516	U	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	0	NA	NA	0	NA
chr8	22558505	22558792	12368353	12368362	bcell	chr8:22558505-22558792	U	1	0	0	0	0.044	0.203	0.077	0.033	0.1	0	0	0	0	0.104	0	0.039	0	0.506	0.294	0	0.128
chr10	49880382	49880600	15131062	15131070	bcell	chr10:49880382-49880600	U	1	0.145	0.091	0	0.026	0	0.02	0.357	0	0	0	0	0.25	0.054	0	0.031	0	0.038	0.085	0	0.05
chr10	126289592	126289807	15834258	15834261	bcell	chr10:126289592-126289807	U	1	0.125	0	NA	0	0	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	0
chr11	61648108	61648343	16528116	16528120	bcell	chr11:61648108-61648343	U	1	0	0	0	0	0.042	0.125	0	0	0	0	0	0.025	0	0	0.026	0	0.072	0	0	0.167
chr16	31123824	31123975	21579933	21579938	hep	chr16:31123824-31123975	U	0	0.224	0	0	0.286	0	0.087	0.2	0	NA	0	0	0.118	0	0	0.333	0	0.158	1	0	0.333
chr2	73868487	73868635	2995337	2995341	hep	chr2:73868487-73868635	U	NA	0.508	0	NA	0.261	0.077	0.182	0	0	0	0	0	0.375	0.429	0.333	0.025	0	0.21	0.979	0	0
chr11	126197037	126197302	17178126	17178134	hep	chr11:126197037-126197302	U	0	0	0	NA	0	0.091	0.429	0	0	0	0	NA	0	0	0	0	0	0.005	0.975	0	0
chr2	47294972	47295270	2770179	2770187	hep	chr2:47294972-47295270	U	0	0	0	0	0	0.5	0	0.091	0	0	0	0	0	0.027	0	0	0	0.026	0.969	0	0.393
chr11	57265171	57265386	16480225	16480232	hep	chr11:57265171-57265386	U	0	0	0	0	0.049	0	0	0	0	0	0	0	0.039	0	0	0.027	0	0.007	0.965	0	0.038
chr12	52056565	52056684	17733982	17733987	hep	chr12:52056565-52056684	U	0	0.897	0	0	0	0.15	0	1	0	0	0	0	0.386	0.069	0	0	0	0.061	0.964	0	0.1
chr7	1748515	1748616	10581842	10581846	hep	chr7:1748515-1748616	U	0	0	0	0	0	0	0.229	0	0	0	0	0	0.424	0.156	0.028	0.076	0	0.065	0.963	0	0.583
chr12	113624563	113624688	18249376	18249384	hep	chr12:113624563-113624688	U	0	0.02	0	0	0.25	0.036	0.026	0.067	0	0.3	0	0	0.027	0.036	0.011	0.781	0.132	0.011	0.961	0	0
chr21	46367886	46368061	26134487	26134496	hep	chr21:46367886-46368061	U	0	0.065	0	0	0	0.006	0.312	0.638	0.095	0	0	0.278	0.488	1	0.075	0.032	0.155	0.023	0.959	0	0.719
chr19	4268789	4268821	24161833	24161837	hep	chr19:4268789-4268821	U	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.016	0	0.011	0.957	0	0
chr2	234627262	234627451	4306857	4306862	hep	chr2:234627262-234627451	U	0	0.033	0	0	0.167	0.02	0.024	NA	0	0	0	0	0	0.231	0.089	0.011	0.213	0.103	0.955	0	0.231
chr17	4688569	4688652	22287765	22287772	hep	chr17:4688569-4688652	M	0	0.422	0	0	0.136	0.183	0.114	0	0	0	0	0	0.282	0	0.015	0.376	0	0.008	0.954	0	0.118
chr17	79984229	79984372	23305346	23305354	hep	chr17:79984229-79984372	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0.954	0	0
chr17	75350743	75350864	23191545	23191550	hep	chr17:75350743-75350864	U	0	0	0	0	0.2	0.154	0	0	0	0	0	0	0	0.174	0	0	0	0.018	0.953	0	0.357
chr10	5237763	5237882	14704653	14704658	hep	chr10:5237763-5237882	U	NA	0.082	NA	NA	0.2	0	0	NA	0	0	0	NA	0.01	0.045	0.142	0	0	0.056	0.952	0	0.032
chr3	133467103	133467686	5535897	5535906	hep	chr3:133467103-133467686	U	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0.037	0.951	0	0.03
chr5	172152351	172152509	8912019	8912024	hep	chr5:172152351-172152509	U	0	0	0	0	0.037	0	0.056	0	0	NA	0	0	0.301	0.179	0	0.318	0	0.048	0.951	0	0
chr8	145107012	145107254	13376858	13376885	hep	chr8:145107012-145107254	M	0	0.227	0	0	0.237	0	0.011	0	0	0	0	0.143	0.674	0.688	0	0.011	0	0.007	0.951	0	0.241
chr2	44066998	44067302	2736628	2736633	hep	chr2:44066998-44067302	U	0	0.031	0	0	0.059	0.123	0.154	0.308	0	0	0	0	0	0	0	0	0	0.2	0.949	0	0
chr3	126236347	126236770	5458743	5458753	hep	chr3:126236347-126236770	U	0.143	0	0	0	0.022	0.088	0.104	0	0	0	0	0	0.022	0	0.064	0.022	0	0.053	0.949	0	0.056
chr19	11347513	11347634	24314969	24314976	hep	chr19:11347513-11347634	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.025	0.949	0	0.037
chr22	38377378	38377847	26499063	26499068	hep	chr22:38377378-38377847	U	0.333	0.682	0	0	0.25	0	0	NA	0	0	0	0.111	0.06	0.178	0	0.048	0	0.037	0.949	0	0.111
chr3	184099275	184099467	5914239	5914263	hep	chr3:184099275-184099467	M	0	1	0	0	0.13	0	0.117	0	0	0	0	0	0.882	0	0.078	0.003	0	0	0.948	0	0.073
chr17	41020437	41020862	22750677	22750690	hep	chr17:41020437-41020862	U	0	0.009	0	0	0	0.015	0	0	0	0	0	0	0.006	0.037	0	0.01	0	0.038	0.948	0	0
chr4	187087925	187088192	7498101	7498109	hep	chr4:187087925-187088192	U	0	0.025	0	NA	0.118	0.013	0	0	0	NA	0	0	0	0.023	0.017	0	0	0.037	0.947	0	0
chr2	27960938	27961049	2589284	2589287	lsec	chr2:27960938-27961049	U	NA	0	NA	NA	0.2	1	NA	NA	0	NA	0	NA	0	0	0.8	NA	0	0.054	NA	0	NA
chr3	129322339	129322503	5503300	5503304	lsec	chr3:129322339-129322503	U	NA	0	0	NA	0	1	0.75	0	NA	0	0	0	0.442	0.167	1	NA	0	0	NA	0	NA
chr3	154788877	154789123	5697617	5697624	lsec	chr3:154788877-154789123	U	0	0	0	0	0.03	1	0.036	0.6	0	0	0	0	0.03	0.206	0.993	0.007	0	0.015	0.027	0	0.88
chr6	109059268	109059363	9977527	9977531	lsec	chr6:109059268-109059363	U	0	0.21	0	0	0.206	1	0.286	0	0	0	0	0	0.041	0.077	1	0.062	0	0.069	0	0	0.35
chr11	64321875	64322147	16573456	16573465	lsec	chr11:64321875-64322147	U	NA	0.474	0	0	0	1	0.261	0.045	0.143	NA	0	0	0.032	0.158	0.245	0.014	0	0.061	0.035	0	0.567
chr12	111883369	111883600	18226680	18226684	lsec	chr12:111883369-111883600	U	NA	0	0	NA	0	1	0	0	NA	NA	0	NA	0.019	0.176	0.672	NA	0	0	NA	0	0
chr13	28903848	28904135	18665137	18665145	lsec	chr13:28903848-28904135	U	0	0	0	0	0	1	0.158	0	0	0	0	0.833	0.01	0.067	0.998	0.024	0	0.033	0.065	0	0.24
chr15	68097056	68097213	20701619	20701627	lsec	chr15:68097056-68097213	U	0	0	0	0	0.269	1	0.066	0	0.2	0.077	0	0	0.013	0	0.34	0.027	0	0.085	0.007	0	0.222
chr20	60861079	60861265	25733171	25733176	lsec	chr20:60861079-60861265	U	NA	0	0	0	0	1	0.085	0.083	0	NA	0	0	0	0.071	0.586	0	0	0.056	0.622	0	0.2
chr22	47560578	47560802	26675432	26675438	lsec	chr22:47560578-47560802	U	0	0	0	0	0	1	0.093	0	0	0	0	0	0	0	0.218	0	0	0.024	0.009	0	0.267
chr7	158377431	158377482	12084400	12084404	lsec	chr7:158377431-158377482	U	0	0.113	0.5	0	0.273	0.995	0.027	0	0.5	NA	0	0	0.01	0.079	0.282	0.019	0	0.061	0.049	0	0.3
chr15	101631955	101632054	21074655	21074660	lsec	chr15:101631955-101632054	U	0	0.317	0	0	0	0.986	0.134	0.017	0	0	0	0	0.026	0.031	0.93	0.022	0	0.088	0.062	0	0.583
chr3	48171915	48172060	4867357	4867363	lsec	chr3:48171915-48172060	U	0	0.417	0.067	0	0	0.984	0.214	0.467	0	0	0	0	0.058	0.229	1	0.013	0	0.066	0.021	0	0.824
chr9	139406515	139406726	14581894	14581909	lsec	chr9:139406515-139406726	U	0	0.128	0	0	0.143	0.977	0	0.923	0	0	0	0	0	0.276	0.99	0.016	0	0.055	0.012	0	0.194
chr16	85157813	85157997	22057809	22057825	lsec	chr16:85157813-85157997	U	0	0.98	0	0	0	0.973	0.193	0	0	0	0	0	0.88	0.288	0.878	0.012	0	0.035	0.019	0	0.904
chr10	121169474	121169728	15773254	15773271	lsec	chr10:121169474-121169728	U	0	0.015	0	0	0.281	0.972	0.215	0	0	0	0	0	0	0.085	0.248	0.01	0	0.005	0.025	0	0.328
chr1	10699475	10699573	217946	217957	lsec	chr1:10699475-10699573	U	0	0	0.04	0.125	0.256	0.969	0.041	0.111	0	0	0	0	0	0.036	0.554	0	0	0.095	0.008	0	0.276
chr17	79259931	79260095	23282181	23282189	lsec	chr17:79259931-79260095	U	0	0.012	0	0	0	0.969	0.019	1	0.421	0	0	0.769	0.015	0.034	0.946	0.012	0	0.097	0.014	0	0.22
chr4	38053307	38053555	6459309	6459319	lsec	chr4:38053307-38053555	U	0	0	0	0	0	0.966	0.203	0	0	0	0	0	0.017	0.333	0.73	0	0	0.034	0.003	0	0.194
chr2	42570056	42570151	2718309	2718313	lsec	chr2:42570056-42570151	U	0	0	0	0	0	0.963	0	0	0	0	0	0	0.46	0.196	0.476	0.075	0.197	0	0.37	0	0.955
chr10	71234546	71234805	15286583	15286589	lsec	chr10:71234546-71234805	U	0	0.14	0	0	0	0.959	0.125	0.161	0	0	0	0	0.088	0.172	0.47	0.023	0.2	0.067	0.365	0	0.7
chr16	86337418	86337475	22084296	22084300	lsec	chr16:86337418-86337475	U	0	0.49	0	0	0	0.959	0	0.25	0	0	0	0	0.394	0.118	0.982	0.113	0	0.154	0.162	0	0.5
chr17	1970447	1970574	22235820	22235826	lsec	chr17:1970447-1970574	U	0.333	0.037	0	0	0	0.958	0.197	NA	0	0	0	0	0.426	0.103	0.942	0.027	0	0.006	0.443	0	0.464
chr11	70266256	70266421	16692376	16692381	lsec	chr11:70266256-70266421	U	0	0	0	0	0	0.95	0.033	1	0	0	0	0	0	0.043	0.916	0.022	0	0.104	0.015	0	0
chr11	1313984	1314237	16021448	16021463	lsec	chr11:1313984-1314237	U	0	0.013	0	0	0.122	0.948	0.03	0.01	0	0	0	0	0.008	0.031	0.314	0.003	0.009	0.015	0.024	0	0.042
chr1	51439230	51439625	765578	765583	neuron	chr1:51439230-51439625	U	NA	0.016	NA	NA	0	0	NA	NA	NA	NA	1	NA	0	0	NA	NA	0	NA	NA	0	NA
chr13	100544487	100544748	19183427	19183433	neuron	chr13:100544487-100544748	U	0	0.01	0	0	0.24	0.071	0.14	0.4	0	0	1	0	0.043	0.125	0.125	0.045	0	0.073	0.007	0	0.267
chr3	32885014	32885243	4728273	4728280	neuron	chr3:32885014-32885243	U	0	0.028	NA	0	0.218	0.059	0	0	0	NA	0.99	0	0.011	0	0	0.018	0	0.011	0.002	0	0.194
chr8	2023224	2023564	12138844	12138854	neuron	chr8:2023224-2023564	M	0	0	0	0.074	0.169	0	0	0	0	0	0.98	0	0	0	0	0	0	0	0.51	0	0.085
chr10	102245620	102246066	15586187	15586196	neuron	chr10:102245620-102246066	U	NA	0.008	0	0	0.073	0.036	0	NA	0	0	0.98	0	0	0.022	0.309	0	0	0.064	0	0	0.16
chr5	42951164	42951569	7929768	7929810	neuron	chr5:42951164-42951569	M	0	0	0	0	0	0	0	0	0	0	0.97	0	0	0	0	0.004	0	0.002	0.011	0	0
chr7	65971211	65971421	11180460	11180490	neuron	chr7:65971211-65971421	M	0	0.029	0	0	0.026	0.014	0.01	0	0	0	0.97	0	0.055	0	0.015	0.108	0	0.008	0.029	0	0.017
chr3	42947427	42948132	4809848	4809913	neuron	chr3:42947427-42948132	M	0	0	0	0	0.018	0	0.002	0	0.041	0	0.96	0	0	0.012	0	0.018	0	0.01	0.013	0	0
chr5	42951575	42951967	7929810	7929838	neuron	chr5:42951575-42951967	M	0	0.023	0	0	0	0	0.015	0	0	0	0.96	0	0.01	0	0	0.032	0	0	0.014	0	0
chr10	21796896	21797390	14886134	14886147	neuron	chr10:21796896-21797390	U	0	0	0	0	0	0.218	0	0	0	0	0.96	0	0.011	0	0	0.022	0.007	0.016	0.001	0	0.075
chr12	133160461	133160553	18536853	18536862	neuron	chr12:133160461-133160553	U	0	0	0	0	0.108	0.383	0.081	0.25	0	0	0.96	0	0	0	0.039	0.006	0	0.041	0.004	0	0.179
chr14	68830865	68831131	19762516	19762526	neuron	chr14:68830865-68831131	U	0	0	0	0	0.25	0.651	0.1	0.032	0.034	0.25	0.96	0	0.011	0.073	0	0.005	0.078	0.013	0.009	0	0.174
chr5	42952007	42952472	7929838	7929874	neuron	chr5:42952007-42952472	M	0	0	0	0	0	0	0.002	0.037	0	0	0.95	0	0.005	0.008	0.001	0.026	0	0.002	0.013	0	0
chr7	101499962	101500515	11538337	11538365	neuron	chr7:101499962-101500515	M	0	0.299	0	0	0.008	0.057	0.013	0	0	0	0.95	0	0.538	0.01	0.01	0	0	0.003	0.022	0	0.069
chr9	131154816	131155112	14405675	14405702	neuron	chr9:131154816-131155112	U	0	0	0	0	0.025	0.276	0	0	0	0	0.95	0	0	0.019	0	0	0	0.042	0.006	0	0.02
chr11	66326689	66326914	16617586	16617611	neuron	chr11:66326689-66326914	M	0	0	0	0	0.032	0.008	0.009	0	0	0	0.95	0	0.018	0.014	0.005	0.132	0	0.017	0.066	0	0
chr14	105995318	105995388	20198013	20198023	neuron	chr14:105995318-105995388	M	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0.179	0	0.004	0.024	0	0
chr20	44639450	44639689	25511897	25511919	neuron	chr20:44639450-44639689	M	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0.064	0	0	0.011	0	0
chr7	1782517	1782756	10582678	10582689	neuron	chr7:1782517-1782756	M	0	0.125	0	0	0.016	0.008	0	0	0	0	0.94	0	0	0.038	0	0	0	0	0.021	0	0
chr7	56183597	56184129	11107545	11107601	neuron	chr7:56183597-56184129	M	0	0	0	0	0.019	0	0.004	0	0	0	0.94	0	0	0	0.002	0.07	0.007	0.005	0.009	0	0
chr10	21797921	21798258	14886177	14886194	neuron	chr10:21797921-21798258	U	0	0	0	0	0.027	0	0	0.115	0	0	0.94	0	0.017	0.07	0	0.097	0	0.007	0.035	0	0.238
chr17	77923482	77923761	23246821	23246839	neuron	chr17:77923482-77923761	U	0	0	0	0	0	0	0.009	0	0	0	0.94	0.097	0	0.016	0	0	0	0.004	0	0	0.018
chr19	1455227	1455709	24070597	24070638	neuron	chr19:1455227-1455709	M	0	0	0	0	0	0	0	0	0	0	0.93	0	0	0	0	0	0	0.003	0.017	0	0
chr3	49851155	49851440	4896742	4896750	neuron	chr3:49851155-49851440	M	0	0	0	0	0.091	0	0	0	0	0	0.92	0	0.055	0.078	0	0	0	0.012	0	0	0.044
chr7	63386183	63386682	11150600	11150630	neuron	chr7:63386183-63386682	M	0	0	0	0	0.02	0.015	0.017	0.06	0	0	0.92	0.011	0	0.026	0.001	0.23	0.016	0.015	0.019	0	0
chr1	1696544	1696571	43234	43237	neut	chr1:1696544-1696571	U	0	0	0	0	0	0	0	0	NA	0	NA	1	0	0.057	0	0	0	0	0.526	0	0
chr1	1696692	1696866	43239	43250	neut	chr1:1696692-1696866	U	0	0.018	0	0.062	0.049	0	0.008	0.111	0.692	0	0	1	0.007	0.023	0.003	0.006	0.027	0	0.043	0	0.023
chr1	2082315	2082457	54688	54699	neut	chr1:2082315-2082457	U	0.154	0	0	0	0.026	0	0	0.667	0.929	0	0	1	0	0.029	0.008	0.01	0	0.049	0.01	0	0
chr1	6035727	6035846	132504	132509	neut	chr1:6035727-6035846	U	0.167	0	0	0.667	0.1	0	0.107	0.37	0.6	0.2	0	1	0	0.111	0.003	0	0	0.027	0.024	0	0
chr1	8273267	8273392	175297	175306	neut	chr1:8273267-8273392	U	0	0	0	0	0.018	0	0.062	0.467	1	NA	0	1	0	0.043	0.013	0.005	0	0.056	0.004	0	0
chr1	36521183	36521664	594270	594277	neut	chr1:36521183-36521664	U	0	0	0	0	0.031	0	0.238	0.529	0.857	0	0	1	0.018	0.043	0	0	0	0	0.008	0	0
chr1	171714205	171714575	1584413	1584418	neut	chr1:171714205-171714575	U	0	0	0	0	0.023	0.007	0.102	0	0.4	0	0	1	0	0.025	0	0.016	0	0.048	0.023	0	0.143
chr2	85547142	85547232	3080302	3080306	neut	chr2:85547142-85547232	U	0	0	0	0	0.107	0	0	0	0.5	0	0	1	0	0	0	NA	0	0	0	0	0
chr2	169355725	169356124	3768359	3768364	neut	chr2:169355725-169356124	U	NA	0.018	NA	NA	0	0	0	NA	0	NA	0	1	0	0.04	0	0.014	0	0.043	0.013	0	0
chr3	42265443	42265625	4802595	4802600	neut	chr3:42265443-42265625	U	0	0	0	0	0.064	0.167	0.714	0.4	0	0	0	1	0	0.031	0	0	0	0.053	0	0	0
chr3	128710307	128710637	5492615	5492632	neut	chr3:128710307-128710637	U	0	0	0.083	0	0	0.013	0.035	0.591	0.423	0	0	1	0	0.034	0.007	0.004	0.007	0.021	0.011	0	0.013
chr3	195897812	195898123	6039455	6039466	neut	chr3:195897812-195898123	U	0.1	0	0	0	0.057	0	0	0.4	1	0	0	1	0	0.048	0.008	0.013	0	0.023	0.006	0	0.053
chr3	195974116	195974170	6041262	6041265	neut	chr3:195974116-195974170	U	NA	0.047	0	NA	0	0	0.067	1	0.25	0	0	1	0	0	0	0	0	0	0.007	0	0
chr3	196351807	196352171	6047557	6047572	neut	chr3:196351807-196352171	U	0	0	0.125	0	0.098	0	0.015	0.871	1	0	0	1	0	0.062	0.005	0.002	0	0.004	0.032	0	0.09
chr4	1742659	1742699	6114423	6114426	neut	chr4:1742659-1742699	U	NA	0	NA	NA	0.05	0	0.034	0	NA	NA	0	1	0	0.034	0.04	0	0	0	0.008	0	0.091
chr5	1475254	1475347	7585587	7585592	neut	chr5:1475254-1475347	U	0	0	0	0	0.066	0	0	0.111	0.316	0	0	1	0	0	0	0.018	0	0.062	0.006	0	0
chr5	10626611	10626804	7688861	7688865	neut	chr5:10626611-10626804	U	NA	0	0	NA	0	0	0.211	NA	1	NA	0	1	0	0.4	0	0	0	0	0.056	0	0.4
chr7	2116312	2116627	10592975	10592996	neut	chr7:2116312-2116627	U	0	0	0.02	0	0.02	0	0.003	0.389	0.561	0	0	1	0	0.013	0.006	0.001	0	0.012	0.001	0	0.029
chr7	2116648	2116853	10592996	10593012	neut	chr7:2116648-2116853	U	0	0	0	0.067	0.036	0	0.031	0.308	0.364	0	0	1	0	0	0.011	0	0	0.016	0.006	0	0.036
chr7	5523636	5523719	10660716	10660721	neut	chr7:5523636-5523719	U	0	0	0	0	0.082	0.006	0.029	0.696	0.167	0	0	1	0	0.029	0.002	0.02	0	0.124	0.006	0	0.286
chr7	6461853	6462013	10680142	10680150	neut	chr7:6461853-6462013	U	0	0	0	0	0.045	0	0	0	0.867	0	0	1	0	0.018	0	0	0	0.023	0.012	0	0
chr7	65214762	65214844	11169935	11169942	neut	chr7:65214762-65214844	U	NA	0	NA	0	0.064	0	0.015	0	0.5	0	0	1	0	0.017	0	0	0	0	0.003	0	0.062
chr7	100028821	100028980	11507677	11507685	neut	chr7:100028821-100028980	U	0	0.041	0	0	0.036	0.002	0.013	0.062	0.364	0	0	1	0	0.023	0.021	0.005	0.006	0.034	0.003	0	0.077
chr7	101671363	101671401	11541685	11541689	neut	chr7:101671363-101671401	U	0	0	0.056	0.105	0.037	0	0	0.111	0.8	0	0	1	0	0	0	0	0	0.045	0.005	0	0.037
chr7	127791805	127791994	11727055	11727060	neut	chr7:127791805-127791994	U	1	0	0	1	0	0	0.111	0.143	0.87	0	0	1	0.007	0.053	0	0	0	0.066	0.048	0	0
